,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year
260,24,small sport utility vehicle,27,4.0,2.0,FWD,gas,31,infiniti,qx50,a,2019
261,19,small sport utility vehicle,22,6.0,3.3,FWD,gas,26,kia,sorento fwd,a,2019
262,24,small sport utility vehicle,26,4.0,2.0,AWD,gas,30,infiniti,qx50 awd,a,2019
263,21,small sport utility vehicle,23,4.0,2.4,AWD,gas,26,kia,sorento awd,a,2019
264,19,small sport utility vehicle,21,6.0,3.3,AWD,gas,24,kia,sorento awd,a,2019
265,15,two seater,17,8.0,6.2,RWD,gas,22,chevrolet,corvette z06,m,2019
266,18,minivan,21,6.0,3.3,FWD,gas,24,kia,sedona,a,2019
267,23,small sport utility vehicle,26,4.0,2.0,FWD,gas,31,jeep,cherokee fwd,a,2019
268,22,small sport utility vehicle,25,4.0,2.4,FWD,gas,31,jeep,cherokee fwd,a,2019
269,21,small sport utility vehicle,24,4.0,2.0,AWD,gas,29,jeep,cherokee 4wd,a,2019
270,21,small sport utility vehicle,24,4.0,2.4,AWD,gas,29,jeep,cherokee 4wd,a,2019
271,20,small sport utility vehicle,22,4.0,2.0,4WD,gas,26,jeep,cherokee trailhawk 4wd,a,2019
272,20,small sport utility vehicle,23,4.0,2.0,4WD,gas,27,jeep,cherokee 4wd active drive ii,a,2019
273,17,compact car,20,6.0,3.3,AWD,gas,25,genesis,g70 awd,a,2019
274,17,compact car,20,6.0,3.3,RWD,gas,26,genesis,g70 rwd,a,2019
275,21,compact car,23,4.0,2.0,AWD,gas,28,genesis,g70 awd,a,2019
276,22,compact car,25,4.0,2.0,RWD,gas,30,genesis,g70 rwd,a,2019
277,18,compact car,22,4.0,2.0,RWD,gas,28,genesis,g70 rwd,m,2019
278,20,small sport utility vehicle,22,4.0,2.0,AWD,gas,25,buick,envision awd,a,2019
279,19,small pickup truck,22,6.0,3.5,FWD,gas,26,honda,ridgeline fwd,a,2019
280,18,standard pickup truck,21,6.0,3.5,AWD,gas,25,honda,ridgeline awd,a,2019
281,23,small sport utility vehicle,26,4.0,2.0,AWD,gas,31,volvo,xc40 awd,a,2019
282,27,compact car,30,4.0,2.0,FWD,gas,34,hyundai,veloster,a,2019
283,25,compact car,28,4.0,2.0,FWD,gas,33,hyundai,veloster,m,2019
284,28,compact car,30,4.0,1.6,FWD,gas,34,hyundai,veloster,a,2019
285,26,compact car,29,4.0,1.6,FWD,gas,33,hyundai,veloster,m,2019
286,15,standard pickup truck,17,8.0,5.7,RWD,gas,22,ram,1500 2wd,a,2019
287,15,standard pickup truck,17,8.0,5.7,4WD,gas,21,ram,1500 4wd,a,2019
288,22,small sport utility vehicle,25,4.0,2.5,FWD,gas,29,buick,envision fwd,a,2019
289,21,small sport utility vehicle,24,4.0,2.5,AWD,gas,27,buick,envision awd,a,2019
290,23,compact car,26,4.0,2.4,FWD,gas,32,acura,tlx fwd a-spec,a,2019
291,20,compact car,23,6.0,3.5,FWD,gas,30,acura,tlx fwd a-spec,a,2019
292,20,compact car,23,6.0,3.5,AWD,gas,29,acura,tlx awd,a,2019
293,20,compact car,23,6.0,3.5,AWD,gas,29,acura,tlx awd a-spec,a,2019
294,13,two seater,15,8.0,6.2,RWD,gas,19,chevrolet,corvette zr1,m,2019
295,12,two seater,15,8.0,6.2,RWD,gas,20,chevrolet,corvette zr1,a,2019
296,27,minicompact car,30,3.0,1.5,FWD,gas,35,mini,cooper convertible,a,2019
297,28,minicompact car,31,3.0,1.5,FWD,gas,37,mini,cooper convertible,m,2019
298,25,minicompact car,28,4.0,2.0,FWD,gas,33,mini,cooper s convertible,a,2019
299,23,minicompact car,26,4.0,2.0,FWD,gas,32,mini,cooper s convertible,m,2019
300,31,compact car,34,4.0,2.0,FWD,gas,40,toyota,corolla,a,2020
301,53,compact car,52,4.0,1.8,FWD,gas,52,toyota,corolla hybrid,a,2020
302,29,compact car,32,4.0,2.0,FWD,gas,36,toyota,corolla,m,2020
303,31,compact car,34,4.0,2.0,FWD,gas,38,toyota,corolla xse,a,2020
304,30,compact car,33,4.0,1.8,FWD,gas,38,toyota,corolla,a,2020
305,29,compact car,33,4.0,1.8,FWD,gas,39,toyota,corolla,m,2020
306,29,compact car,32,4.0,1.8,FWD,gas,37,toyota,corolla xle,a,2020
307,27,small station wagon,30,4.0,2.0,FWD,gas,33,kia,soul,a,2020
308,29,small station wagon,31,4.0,2.0,FWD,gas,35,kia,soul eco dynamics,a,2020
309,25,small station wagon,27,4.0,2.0,FWD,gas,31,kia,soul,m,2020
310,27,small station wagon,29,4.0,1.6,FWD,gas,32,kia,soul,a,2020
311,23,small sport utility vehicle,26,4.0,2.4,FWD,gas,30,kia,sportage fwd,a,2020
312,20,small sport utility vehicle,23,4.0,2.0,FWD,gas,28,kia,sportage fwd,a,2020
313,20,small sport utility vehicle,23,6.0,3.8,FWD,gas,26,kia,telluride fwd,a,2020
314,22,small sport utility vehicle,23,4.0,2.4,AWD,gas,26,kia,sportage awd,a,2020
315,19,small sport utility vehicle,21,4.0,2.0,AWD,gas,24,kia,sportage awd,a,2020
316,19,small sport utility vehicle,21,6.0,3.8,AWD,gas,24,kia,telluride awd,a,2020
317,19,small sport utility vehicle,22,4.0,2.0,4WD,gas,26,mercedes-benz,gle350 4matic,a,2020
318,19,standard sport utility vehicle,21,6.0,3.0,4WD,gas,24,mercedes-benz,gle450 4matic,a,2020
319,23,two seater,26,4.0,2.0,RWD,gas,30,jaguar,f-type coupe,a,2020
320,23,two seater,26,4.0,2.0,RWD,gas,30,jaguar,f-type convertible,a,2020
321,25,compact car,28,4.0,2.0,RWD,gas,34,jaguar,xe,a,2020
322,24,compact car,27,4.0,2.0,RWD,gas,32,jaguar,xe 30t,a,2020
323,24,compact car,28,4.0,2.0,AWD,gas,34,jaguar,xe awd,a,2020
324,22,compact car,25,4.0,2.0,AWD,gas,30,jaguar,xe awd 30t,a,2020
325,25,midsize car,28,4.0,2.0,RWD,gas,34,jaguar,xf,a,2020
326,23,midsize car,26,4.0,2.0,RWD,gas,31,jaguar,xf 30t,a,2020
327,23,midsize car,27,4.0,2.0,AWD,gas,33,jaguar,xf awd,a,2020
328,22,midsize car,25,4.0,2.0,AWD,gas,31,jaguar,xf awd 30t,a,2020
329,21,midsize station wagon,24,4.0,2.0,AWD,gas,28,jaguar,xf sportbrake awd,a,2020
330,21,small sport utility vehicle,24,4.0,2.0,AWD,gas,28,jaguar,e-pace,a,2020
331,21,small sport utility vehicle,23,4.0,2.0,AWD,gas,27,jaguar,e-pace p300,a,2020
332,22,small sport utility vehicle,24,4.0,2.0,AWD,gas,27,jaguar,f-pace,a,2020
333,22,small sport utility vehicle,24,4.0,2.0,AWD,gas,27,jaguar,f-pace 30t,a,2020
334,21,small sport utility vehicle,23,4.0,2.0,AWD,gas,27,land rover,range rover velar,a,2020
335,20,small sport utility vehicle,22,4.0,2.0,AWD,gas,26,land rover,range rover velar p300,a,2020
336,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type coupe,a,2020
337,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type convertible,a,2020
338,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s coupe,a,2020
339,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s convertible,a,2020
340,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd coupe,a,2020
341,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd convertible,a,2020
342,20,midsize car,23,6.0,3.0,AWD,gas,28,jaguar,xf awd,a,2020
343,18,midsize station wagon,21,6.0,3.0,AWD,gas,25,jaguar,xf sportbrake awd,a,2020
344,18,small sport utility vehicle,20,6.0,3.0,AWD,gas,23,jaguar,f-pace,a,2020
345,16,small sport utility vehicle,18,8.0,5.0,AWD,gas,21,jaguar,f-pace,a,2020
346,20,small sport utility vehicle,23,4.0,2.0,AWD,gas,27,land rover,evoque,a,2020
347,19,standard sport utility vehicle,21,6.0,3.8,AWD,gas,24,hyundai,palisade awd,a,2020
348,24,subcompact car,27,4.0,2.0,RWD,gas,32,bmw,230i coupe,a,2020
349,30,midsize car,34,4.0,2.0,FWD,gas,40,hyundai,elantra,a,2020
350,29,small sport utility vehicle,31,4.0,2.0,FWD,gas,34,kia,seltos fwd,a,2021
351,25,small sport utility vehicle,27,4.0,1.6,AWD,gas,30,kia,seltos awd,a,2021
352,27,small sport utility vehicle,29,4.0,2.0,AWD,gas,31,kia,seltos awd,a,2021
353,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s coupe,a,2021
354,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s convertible,a,2021
355,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd coupe,a,2021
356,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd convertible,a,2021
357,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type r awd coupe,a,2021
358,16,two seater,18,8.0,5.0,AWD,gas,24,jaguar,f-type r awd convertible,a,2021
